[55.86621847512143, 49.10145208909614];14056;6847;Зона многоквартиной многоэтажной жилой застройки
[55.860328677912875, 49.084027256650984];13234;7335;Зона многоквартирной среднеэтажной жилой застройки
[55.866534792491805, 49.101589577751774];14061;6820;Зона многоквартиной многоэтажной жилой застройки
[55.861145750713966, 49.093880738380896];13704;7268;Зона многоквартиной многоэтажной жилой застройки
[55.857669046648766, 49.07948686241127];13022;7556;Зона индифидуальной и блокированной жилой застройки
[55.86550191207444, 49.101338362439684];14052;6906;Зона многоквартиной многоэтажной жилой застройки
[55.86797297990588, 49.08093470746035];13070;6698;Зона индифидуальной и блокированной жилой застройки
[55.86691298327521, 49.09298524290395];13649;6788;Зона многоквартиной многоэтажной жилой застройки
[55.85676224454484, 49.08854953309203];13457;7633;Зона многоквартирной среднеэтажной жилой застройки
[55.86605070156048, 49.101412928746576];14054;6861;Зона многоквартиной многоэтажной жилой застройки
[55.86119493203468, 49.08406375732292];13234;7263;Зона многоквартиной многоэтажной жилой застройки
[55.857475114159165, 49.07989783020268];13042;7573;Зона индифидуальной и блокированной жилой застройки
[55.86672343330137, 49.10198116522096];14080;6805;Зона многоквартиной многоэтажной жилой застройки
[55.867405669919066, 49.098415680007605];13908;6748;Зона многоквартиной многоэтажной жилой застройки
[55.854879964241604, 49.098850136509576];13954;7791;Зона многоквартиной многоэтажной жилой застройки
[55.85858556423436, 49.081267546723275];13105;7480;Зона индифидуальной и блокированной жилой застройки
[55.86244475712695, 49.10296009040612];14135;7161;Зона многоквартиной многоэтажной жилой застройки
[55.8597494143312, 49.07641808521555];12871;7383;Зона индифидуальной и блокированной жилой застройки
[55.866310626326324, 49.10076869330791];14023;6839;Зона многоквартиной многоэтажной жилой застройки
[55.8660503500281, 49.10129382814997];14048;6861;Зона многоквартиной многоэтажной жилой застройки
[55.86637338597433, 49.10198279605839];14081;6834;Зона многоквартиной многоэтажной жилой застройки
[55.85923998464584, 49.08083855555599];13083;7426;Зона индифидуальной и блокированной жилой застройки
[55.86002161036808, 49.077935893758266];12943;7360;Зона индифидуальной и блокированной жилой застройки
[55.865632630379515, 49.100090296897804];13992;6895;Зона многоквартиной многоэтажной жилой застройки
[55.86663892241228, 49.100653406508115];14016;6812;Зона многоквартиной многоэтажной жилой застройки
[55.86039719225013, 49.09985870360591];13991;7332;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.85876298178825, 49.10314370390778];14152;7468;Зона индифидуальной и блокированной жилой застройки
[55.86601273687141, 49.08817256101179];13420;6862;Зона индифидуальной и блокированной жилой застройки
[55.86612381529842, 49.10103536362252];14036;6855;Зона многоквартиной многоэтажной жилой застройки
[55.86651142945463, 49.10085741488249];14026;6822;Зона многоквартиной многоэтажной жилой застройки
[55.866021159584, 49.09961791121328];13968;6863;Зона многоквартиной многоэтажной жилой застройки
[55.86804326853951, 49.099592077254776];13963;6695;Зона размещения объектов специального назначения
[55.8584793567873, 49.08180092884531];13131;7489;Зона индифидуальной и блокированной жилой застройки
[55.86027400407177, 49.10458347843711];14217;7342;Зона многоквартиной многоэтажной жилой застройки
[55.86626685093588, 49.07718402922078];12894;6840;Зона индифидуальной и блокированной жилой застройки
[55.86435068713076, 49.07623688659819];12853;6999;Зона индифидуальной и блокированной жилой застройки
[55.861896562703045, 49.084804808199294];13268;7205;Зона многоквартиной многоэтажной жилой застройки
[55.86055103477835, 49.10311462556981];14147;7319;Зона многоквартиной многоэтажной жилой застройки
[55.86602241894295, 49.101267708863354];14047;6863;Зона многоквартиной многоэтажной жилой застройки
[55.86735816790998, 49.08490440156024];13261;6750;Зона индифидуальной и блокированной жилой застройки
[55.857894077163415, 49.09124561732865];13584;7539;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.8596438915453, 49.07748210279313];12922;7392;Зона индифидуальной и блокированной жилой застройки
[55.86736124300848, 49.078812544135545];12970;6749;Зона индифидуальной и блокированной жилой застройки
[55.86807137446771, 49.09833675094569];13903;6692;Водные объекты
[55.85964385644814, 49.1042580897309];14203;7395;Зона многоквартиной многоэтажной жилой застройки
[55.86553200475012, 49.100834484581455];14027;6904;Зона многоквартиной многоэтажной жилой застройки
[55.86097766562163, 49.077387391412586];12915;7281;Зона индифидуальной и блокированной жилой застройки
[55.86586646724521, 49.10201196023204];14083;6876;Зона многоквартиной многоэтажной жилой застройки
[55.86546635875763, 49.10088484308618];14030;6909;Зона многоквартиной многоэтажной жилой застройки
[55.86232252648776, 49.07855424208732];12968;7169;Водные объекты
[55.8650875188964, 49.09538215407815];13767;6940;Зона многоквартиной многоэтажной жилой застройки
